design_id,cooling_method,stack_layers,gpu_x_mm,gpu_y_mm,hbm_x_mm,hbm_y_mm,interposer_size_mm,gpu_power_w,hbm_power_w_per_layer
1,cold_plate,8,1.97,-4.06,5.97,24.33,110,300,7.0
2,cold_plate,8,1.44,3.23,2.2,24.68,110,300,5.0
3,cold_plate,8,-1.45,4.71,-30.07,0.43,90,400,7.0
4,air,4,2.45,4.68,-20.87,4.25,90,300,3.0
5,air,8,1.7,-0.63,29.0,-3.26,70,600,7.0
6,cold_plate,8,1.82,-3.6,5.84,-22.2,70,500,3.0
7,cold_plate,12,0.69,-3.6,27.88,-4.0,70,500,3.0
8,cold_plate,8,0.59,-1.96,-3.41,22.22,90,400,3.0
9,immersion,4,-2.19,-2.06,-19.0,1.91,50,500,5.0
10,cold_plate,12,-4.77,-4.1,-9.51,-28.0,70,500,7.0
11,air,8,-1.19,-1.98,-6.96,21.22,70,300,5.0
12,immersion,12,-2.34,4.69,-30.16,3.98,90,400,7.0
13,air,12,-2.98,-1.94,2.01,-22.74,70,500,5.0
14,cold_plate,8,0.84,1.5,-5.58,25.41,90,400,3.0
15,air,4,0.88,-3.29,-19.0,-5.43,50,500,7.0
16,air,12,2.83,-4.17,-22.05,1.96,70,500,5.0
17,cold_plate,4,0.21,-0.61,-29.0,4.94,70,300,3.0
18,cold_plate,4,-2.19,1.59,-7.68,30.08,90,600,7.0
19,air,4,-1.29,3.3,-23.91,9.64,90,400,7.0
20,cold_plate,4,-3.35,-4.55,-34.75,0.93,110,500,5.0
21,immersion,12,-1.84,2.72,-25.2,-2.96,90,500,5.0
22,air,12,-3.77,3.31,-2.38,-17.52,70,600,3.0
23,air,8,4.72,0.01,-13.96,-3.77,90,300,3.0
24,cold_plate,4,1.94,0.81,-27.01,3.83,90,500,3.0
25,air,4,-1.02,-1.99,26.1,4.39,110,400,5.0
26,immersion,4,1.34,-3.94,7.87,20.01,90,500,3.0
27,immersion,12,2.85,-4.82,7.01,24.46,70,400,3.0
28,cold_plate,8,1.03,-0.87,25.07,1.26,110,600,5.0
29,cold_plate,4,2.46,3.17,3.78,-16.2,70,300,3.0
30,cold_plate,8,4.21,-3.34,19.0,-8.72,50,300,3.0
31,air,4,0.91,1.81,0.97,-18.0,50,600,5.0
32,immersion,4,-2.63,-2.51,-8.94,21.4,70,400,5.0
33,cold_plate,4,-4.48,4.25,1.16,33.72,90,600,3.0
34,cold_plate,12,2.79,-3.65,7.8,-28.83,90,400,5.0
35,air,8,-3.6,-0.22,17.92,-2.07,70,400,5.0
36,air,8,-2.03,4.49,-4.43,29.24,90,500,7.0
37,cold_plate,8,0.33,1.33,28.38,-2.84,90,500,3.0
38,immersion,4,-4.05,2.26,-9.13,32.93,90,600,3.0
39,cold_plate,8,2.95,4.46,29.12,-1.21,90,500,3.0
40,air,8,-0.34,0.23,-0.45,29.12,90,500,7.0
41,immersion,4,-4.12,1.58,-1.72,18.0,50,400,5.0
42,immersion,12,-1.36,-1.86,-21.78,4.25,70,400,3.0
43,air,8,4.36,2.8,11.17,26.19,90,500,5.0
44,immersion,4,1.37,-3.78,-26.05,-10.61,110,400,5.0
45,cold_plate,4,-0.58,-1.98,-6.03,26.68,70,600,7.0
46,immersion,4,-3.94,4.99,23.01,-0.74,90,600,5.0
47,air,4,2.77,-3.02,19.0,-9.51,50,300,7.0
48,air,8,-2.61,3.49,26.3,9.48,90,500,3.0
49,cold_plate,12,-2.98,-3.75,-1.16,18.0,50,600,5.0
50,air,8,-2.29,2.1,-8.53,28.0,70,500,7.0
51,air,12,-3.27,-4.08,-3.85,-35.32,90,500,3.0
52,cold_plate,8,4.46,-1.99,-19.0,0.1,50,600,5.0
53,air,8,-0.26,-3.81,-2.99,-25.92,70,400,3.0
54,cold_plate,8,-0.91,-2.82,-7.41,-25.44,70,400,5.0
55,cold_plate,4,0.66,2.02,-1.91,29.0,90,500,5.0
56,cold_plate,8,-1.39,0.13,4.5,-29.89,90,500,7.0
57,cold_plate,12,3.37,-0.06,22.81,4.73,70,300,3.0
58,air,8,-1.86,2.43,3.13,-26.82,70,400,3.0
59,air,8,-1.35,4.58,19.0,1.93,50,500,7.0
60,cold_plate,8,-4.89,-2.91,-9.57,-23.54,90,600,5.0
61,immersion,8,4.9,-3.58,-0.98,20.02,90,500,5.0
62,cold_plate,8,-3.19,4.07,-6.1,-17.46,70,400,3.0
63,cold_plate,8,-2.56,3.44,-0.18,-18.0,50,500,5.0
64,air,8,-1.62,3.44,-30.11,8.37,90,500,5.0
65,immersion,8,-1.59,-0.01,-3.01,-19.87,110,600,5.0
66,cold_plate,4,-3.08,-4.75,-5.77,19.58,70,500,7.0
67,air,4,1.34,4.82,5.0,-19.89,90,600,5.0
68,cold_plate,12,3.67,-3.86,4.41,20.36,90,500,7.0
69,immersion,12,2.34,2.5,-4.09,22.61,70,500,5.0
70,cold_plate,12,4.78,-0.88,24.38,-0.1,70,600,7.0
71,immersion,12,-1.27,-4.51,-19.0,-1.52,50,500,3.0
72,immersion,8,-4.51,-2.65,25.15,-9.59,90,500,5.0
73,cold_plate,4,3.96,1.72,-25.63,-0.41,70,600,3.0
74,air,8,-2.25,3.87,-4.46,-15.73,70,500,3.0
75,cold_plate,12,-0.92,-3.63,29.0,-0.82,70,500,5.0
76,air,12,-3.66,-1.35,17.47,-8.1,70,400,3.0
77,cold_plate,8,4.59,2.52,10.15,24.72,70,400,5.0
78,air,12,2.42,0.91,-1.2,23.3,90,400,5.0
79,air,12,0.61,2.92,0.28,27.12,70,600,7.0
80,cold_plate,12,2.88,-3.15,22.7,-1.01,110,600,5.0
81,cold_plate,8,4.6,-3.97,-17.1,-10.05,50,400,3.0
82,cold_plate,8,-3.88,-1.15,-7.98,-18.0,50,400,3.0
83,air,8,-3.88,3.63,19.0,3.48,50,400,3.0
84,cold_plate,12,-2.4,-1.78,0.17,22.96,90,400,3.0
85,air,12,-0.39,2.12,18.73,-2.95,50,600,3.0
86,air,4,-3.89,1.2,-19.0,2.46,50,600,3.0
87,air,12,-3.37,2.73,2.49,-19.08,90,400,7.0
88,cold_plate,12,3.13,-1.82,-0.84,24.49,70,400,7.0
89,air,4,-1.54,-4.81,1.37,18.0,50,500,3.0
90,air,12,-3.74,-3.56,-3.64,17.19,90,600,7.0
91,air,4,0.85,-3.73,1.36,26.21,110,500,7.0
92,air,4,-2.05,1.64,-0.71,-17.1,90,400,7.0
93,immersion,4,0.54,-1.04,1.48,-28.98,90,500,7.0
94,immersion,8,-4.88,2.96,-28.68,-2.72,90,600,5.0
95,air,8,4.62,-3.22,10.4,18.0,50,400,3.0
96,cold_plate,8,-1.21,0.17,26.79,4.13,110,500,7.0
97,air,12,2.98,-4.0,31.15,-10.68,110,600,3.0
98,air,8,-1.05,-1.81,-27.1,-3.08,110,500,5.0
99,immersion,8,-1.23,-1.06,1.35,-21.68,70,400,3.0
100,immersion,4,2.54,3.81,-18.59,-0.59,50,500,3.0
101,cold_plate,4,-0.19,4.59,19.0,-0.86,50,400,5.0
102,air,12,4.02,4.85,-1.97,35.74,110,300,7.0
103,air,8,3.46,1.17,-17.19,-2.28,50,300,5.0
104,immersion,8,-2.04,-1.29,1.77,-29.67,90,400,5.0
105,immersion,4,-4.0,-2.35,16.83,-3.56,110,400,7.0
106,air,8,3.75,-1.61,0.18,20.12,110,300,5.0
107,immersion,12,0.18,-0.09,-25.3,-1.01,90,300,5.0
108,air,12,4.53,-3.36,-16.67,-6.82,70,300,5.0
109,air,12,1.08,-0.35,-3.3,-25.76,70,600,5.0
110,cold_plate,8,-3.47,4.21,-5.68,23.36,70,500,5.0
111,cold_plate,12,-2.88,4.24,-9.85,31.05,90,600,5.0
112,air,4,-3.71,-3.48,2.2,-27.09,70,400,5.0
113,cold_plate,8,1.0,-0.27,-3.52,22.69,90,500,7.0
114,cold_plate,4,3.92,2.5,-21.49,4.74,70,400,7.0
115,immersion,8,-0.97,0.62,24.15,6.32,90,400,7.0
116,cold_plate,8,-0.6,-3.74,1.58,-28.0,70,500,3.0
117,air,8,2.78,3.61,-2.41,-23.57,70,400,3.0
118,air,4,4.1,-2.97,10.44,-30.59,90,500,5.0
119,air,8,4.76,-1.0,-14.04,-2.4,70,600,7.0
120,cold_plate,8,3.54,-1.78,5.39,-26.65,110,400,5.0
121,air,12,3.43,4.78,31.87,8.46,110,400,7.0
122,cold_plate,4,-2.11,-2.42,-25.94,-6.36,90,600,5.0
123,immersion,4,-1.64,2.98,18.66,6.82,50,300,7.0
124,air,12,-3.46,-0.77,-29.0,5.96,70,300,5.0
125,air,12,3.85,1.63,-25.47,-2.9,70,400,3.0
126,cold_plate,8,1.53,4.92,26.74,-0.75,90,500,7.0
127,immersion,8,-0.75,-4.49,-23.84,-0.47,70,600,7.0
128,cold_plate,8,2.49,3.01,29.0,-1.98,70,600,5.0
129,air,4,-4.32,-4.47,19.85,-0.63,90,300,3.0
130,cold_plate,12,-3.53,3.61,-29.0,8.08,70,300,7.0
131,air,8,2.52,0.04,0.67,24.58,70,400,7.0
132,air,12,-4.14,-3.24,19.0,-4.66,50,600,3.0
133,air,8,-1.07,3.75,-5.38,-26.1,70,400,7.0
134,cold_plate,4,0.66,0.51,-27.08,-6.12,90,300,7.0
135,cold_plate,8,-0.81,2.58,24.99,0.98,70,400,7.0
136,cold_plate,8,1.77,-4.34,-19.49,1.18,90,500,3.0
137,air,12,-0.24,4.36,-21.54,5.56,70,300,3.0
138,cold_plate,4,-2.93,-0.77,2.11,18.0,50,400,3.0
139,air,4,-2.35,1.1,-29.0,7.12,70,300,3.0
140,air,4,-3.78,3.52,-3.42,-25.64,90,600,7.0
141,air,8,4.49,0.77,11.19,-19.94,70,400,7.0
142,cold_plate,12,-1.02,0.85,-23.69,-3.45,70,300,3.0
143,immersion,8,-0.91,-0.68,5.15,-28.0,70,400,5.0
144,air,8,-0.38,1.59,-23.05,-0.57,90,400,5.0
145,air,4,-1.11,-2.85,-4.51,-31.17,90,600,5.0
146,immersion,8,-4.47,4.46,-3.36,-26.05,90,300,5.0
147,air,8,-4.73,2.43,20.22,1.95,90,300,7.0
148,cold_plate,8,-1.27,0.65,19.32,4.5,110,400,3.0
149,cold_plate,12,3.56,-3.12,1.8,-33.04,110,300,5.0
150,cold_plate,8,4.82,1.07,3.67,-22.24,90,300,5.0
151,cold_plate,12,-1.96,3.74,23.31,3.23,70,500,3.0
152,air,8,1.19,-4.6,-2.81,20.69,70,300,5.0
153,air,8,4.47,-0.95,19.0,-6.82,50,500,7.0
154,immersion,8,-0.69,-4.64,29.0,1.78,70,300,5.0
155,cold_plate,8,-4.55,4.36,-10.71,-15.67,110,600,7.0
156,air,8,0.67,-1.03,7.23,-20.35,110,400,5.0
157,air,4,-4.06,3.67,25.23,10.33,110,600,7.0
158,immersion,4,0.46,0.43,3.33,-30.7,90,400,7.0
159,cold_plate,8,-1.08,-4.1,-1.83,24.54,70,600,3.0
160,cold_plate,4,-2.94,4.76,3.17,-20.44,70,600,3.0
161,air,4,-4.37,-3.05,25.99,-2.53,70,500,5.0
162,air,12,3.64,4.49,23.32,0.65,90,400,5.0
163,immersion,8,0.4,-3.17,2.82,23.82,90,400,3.0
164,air,8,4.37,-3.12,4.64,-28.0,70,500,3.0
165,cold_plate,12,-0.22,-0.78,-4.03,-26.99,70,500,3.0
166,air,12,3.97,-0.24,6.04,28.0,70,500,3.0
167,cold_plate,8,1.31,-1.52,-25.92,4.93,110,400,5.0
168,cold_plate,12,2.37,-0.4,-2.79,27.79,90,300,3.0
169,cold_plate,8,-2.27,-3.89,18.24,-8.12,110,400,7.0
170,cold_plate,12,2.08,-3.25,-2.86,-27.97,90,400,5.0
171,air,4,2.05,-4.3,-26.62,-0.83,90,600,5.0
172,cold_plate,12,-1.39,-3.24,22.21,-6.87,70,500,5.0
173,air,4,-0.61,-1.97,3.07,-18.0,50,600,5.0
174,cold_plate,8,4.99,1.14,-25.32,5.22,110,400,7.0
175,air,4,-0.06,-0.93,-25.74,3.78,70,300,5.0
176,air,12,4.95,3.73,27.54,2.35,90,400,7.0
177,cold_plate,12,0.57,-2.04,21.61,-8.23,70,600,3.0
178,cold_plate,12,-3.08,-3.25,18.86,2.54,90,300,7.0
179,cold_plate,12,-2.24,4.65,-3.18,28.0,70,400,3.0
180,cold_plate,12,3.35,-2.87,10.27,23.06,70,300,3.0
181,air,8,-4.11,-1.05,-27.44,-5.41,90,300,7.0
182,cold_plate,8,1.42,1.9,25.27,0.55,110,600,7.0
183,air,8,-4.02,-0.32,16.89,-0.83,90,400,3.0
184,cold_plate,12,-2.34,-2.26,17.92,3.95,90,400,3.0
185,air,12,-4.65,-3.38,-8.7,-28.0,70,600,5.0
186,immersion,12,-4.49,3.67,-0.85,28.0,70,300,3.0
187,cold_plate,12,-0.59,3.77,27.59,8.26,90,500,5.0
188,air,4,0.03,0.05,4.05,23.69,70,600,5.0
189,air,8,0.23,-3.11,-30.76,-0.0,90,600,7.0
190,immersion,8,-0.26,4.87,23.6,10.13,90,400,3.0
191,cold_plate,8,3.84,-1.99,26.72,-0.5,110,500,7.0
192,cold_plate,4,2.12,0.64,-0.0,19.86,70,600,5.0
193,air,8,-4.49,2.5,-1.05,32.27,110,600,3.0
194,air,8,-2.54,-2.69,-33.5,0.25,90,500,3.0
195,cold_plate,8,-0.5,1.4,-29.0,5.76,70,400,3.0
196,cold_plate,4,4.03,4.22,-0.01,-16.48,110,300,3.0
197,air,4,-4.26,-3.67,-0.42,22.37,110,500,7.0
198,immersion,8,2.13,-0.53,-2.49,24.05,90,500,5.0
199,air,4,3.42,-1.7,-2.49,-28.0,70,500,7.0
200,air,4,4.1,-2.05,4.86,-24.32,90,500,5.0
